city,year,quarter,eur_per_sqm
Mallorca,2022,1,2401.13
Mallorca,2022,2,2435.51
Mallorca,2022,3,2490.55
Mallorca,2022,4,2572.59
Mallorca,2023,1,2606.21
Mallorca,2023,2,2668.69
Mallorca,2023,3,2762.37
Mallorca,2023,4,2778.35
Mallorca,2024,1,2850.71
Mallorca,2024,2,2910.46
Mallorca,2024,3,3038.33
Mallorca,2024,4,3127.91
Mallorca,2025,1,3240.82
Mallorca,2025,2,3317.24
Mallorca,2025,3,3397.31
Mallorca,2025,4,3604.38
Mallorca,2026,1,3740.68
Mallorca,2026,2,3790.09
